Date,Age,Missing from,Circumstances,
08-Nov-35,38,Andaman Sea,"Australian pioneer aviator Charles Kingsford Smith and co-pilot Tommy Pethybridge disappeared during an overnight flight from Allahabad, India, to Singapore while attempting to break the England–Australia speed record. Eighteen months later, Burmese fishermen found an undercarriage leg and wheel (with its tire still inflated) on the shoreline of Aye Island in the Andaman Sea, 3 km (2 mi) off the south-east coastline of Burma, which Lockheed confirmed to be from their Lockheed Altair, the Lady Southern Cross. Botanists who examined the weeds clinging to it estimated that the aircraft itself lies not far from the island at a depth of approximately 15 fathoms (90 ft; 27 m). A filmmaker claimed to have located Lady Southern Cross on the seabed in February 2009.",
Tommy Pethybridge,,,,
10-Feb-36,33,South Atlantic Ocean,"Barrière, an early-20th-century French aviator who played a major role in the early development commercial aviation in South America, was a passenger on an Air France Latécoère 301 Ville de Buenos Aires which disappeared en route from Natal, Brazil to Dakar, French West Africa on 10 February 1936.",
Oct-36,24–25,Tasman Sea,"Brian Abbot was the stage name of Australian actor George Rikard Bell, who along with his sidekick and fellow actor Leslie Hay-Simpson mysteriously disappeared after setting out from Lord Howe Island for Sydney in October 1936; they were never seen again despite a week long search having taken place to find them. A significant number of boats have disappeared around the same area where Abbot and Hay-Simpson disappeared. A boat with five men from Sydney also mysteriously vanished a few weeks after the disappearance of Abbot and Hay-Simpson and was also never seen again.",
Leslie Hay-Simpson,,,,
10-Nov-36,54,Aegean Sea,"Simpson, a British entomologist and marine biologist, was last seen at sea on the morning of 10 November 1936 and is believed to have drowned.",
02-Jul-37,39,Central Pacific Ocean,"American aviator Amelia Earhart was the first woman to try a circumnavigational flight of the globe. During the attempt, she and her navigator, Fred Noonan, disappeared over the central Pacific in the vicinity of Howland Island on 2 July 1937.",
Fred Noonan,,,,
13-Aug-37,35,Arctic Ocean,"Levanevsky, a Soviet aviator, with his crew of five and their Bolkhovitinov DB-A aircraft disappeared in the vicinity of the North Pole on the Arctic Ocean. They had reported a loss of power from one of their four Mikulin AM-34 engines while attempting to prove a transpolar route between Asia and North America commercially viable.",
25-Mar-38,32,Tyrrhenian Sea,"An Italian physicist, Majorana disappeared in unknown circumstances during a boat trip from Palermo to Naples on 25 March 1938. There is some evidence that he was alive in South America in 1959 and that his disappearance was voluntary.",
20-Mar-39,68–69,Cook Strait,"Snodgrass, a New Zealand politician, disappeared from the inter-island ferry Arahura while travelling overnight from Wellington to Nelson on 20 March 1939.",
24-Mar-39,39,Pacific Ocean,"Halliburton, an American travel writer and adventurer, vanished while attempting to sail the Sea Dragon, a Chinese junk, across the Pacific Ocean, accompanied by photojournalist Paul Mooney. In 1945, wreckage identified as a rudder, and believed to belong to the Sea Dragon, washed ashore in San Diego.",
Paul Mooney,,,,
01-Mar-40,43,Gulf of Oman,"Whistler, an English fighter pilot and flying ace, and Pannirselvam, an Indian attorney and politician, along with 6 others disappeared on board the Handley Page H.P.42 Hannibal while returning to the UK from a trip to India.",
A. T. Pannirselvam,,,,
03-Sep-40,40,Location unknown,"Guckert, an American football and basketball coach, is said to have died in 1940 when he disappeared from a ship but his body was never recovered and he was never seen, so his fate remains unknown.",
28-Nov-40,25,English Channel,"Wick, a German Luftwaffe flying ace and wing commander credited with 56 aerial victories against the Allied powers, was shot down by British forces during the Battle of Britain. His body was never found.",
28-Nov-40,25,English Channel,"Dundas, an English RAF pilot and fighter ace believed to have shot down Helmut Wick, Nazi Germany's deadliest flying ace, was purportedly shot down himself moments later. His body was also never found.",
05-Jan-41,37,"Thames Estuary, England","An English pioneer pilot who was the first woman to fly solo from London to Australia, Johnson disappeared during a ferry flight after being blown off course due to bad weather and bailing out into the Thames Estuary, presumably dying.",
20-Apr-41,46,Mediterranean Sea,"Barbesino, an Italian association footballer and manager who represented his country at the 1912 Summer Olympics, later abandoned his job to serve in the Regia Aeronautica. During a training course, he and his six crewmen went missing during bad weather and were never seen again.",
12-May-41,30,English Channel,"Polish RAF airman and flying ace Henneberg ditched his plane in the English Channel during the Battle of Britain. He was last seen floating in the water, but a two-day search was unable to find him.",
30-Nov-41,23,North Sea,"Romilly, a British socialist and journalist, disappeared during a bombing raid on Hamburg, with neither his body or the plane's wreckage ever being found.",
14-Apr-42,30,Mediterranean Sea,Wanklyn disappeared along with his crew while aboard HMS Upholder on 14 April 1942 in the Mediterranean Sea and is believed to have been killed.,
05-May-42,23,"Sea of Azov, Russia",Gerhard Köppen was a German Luftwaffe flying ace as well as a recipient of the Knight's Cross with Oak Leaves who disappeared on 5 May 1942 after he was last seen swimming in the Sea of Azov with Soviet boats going after him. He was officially declared dead on 30 May 1969.,
08-May-42,43,"Chuuk State, Federated States of Micronesia","Ault, a U.S. Navy commander, disappeared together with his radioman, William T. Butler, during the Battle of the Coral Sea. Neither man's remains were ever recovered.",
05-Jun-42,30,Pacific theatre,Samuel Adams was an officer in the United States Navy who disappeared on 5 June 1942 while flying in the Pacific theatre; he is believed to have been shot down.,
Aug-42,23–24,"Tanon Strait, Philippines",The Filipino military aviator and flight officer of the Army Air Corps was presumably lost at sea with another officer while attempting to reach Mindoro under unfavorable weather conditions.,
16-Aug-42,27,"San Francisco Bay, California, U.S.","U.S. Navy blimp L-8 drifted inland from its route doing antisubmarine patrol off the coast of California near San Francisco several hours after its crew, Lt. Ernest Cody and Ens. Charles Adams, radioed in that they were going to take a closer look at an oil slick. When the ship eventually crashed in Daly City, neither man was aboard. A massive search failed to find any trace of them; they were both declared dead a year later.",
Ens. Charles Adams,,,,
13-Dec-42,25,North Sea,"Lane, a British author and RAF flying ace, is thought to have been shot down by an enemy plane while flying over the North Sea. His remains have never been recovered.",
05-Apr-43,24,Mediterranean Sea,"A USAAF bombardier and member of the Doolittle Raiders who took part in bombing Japan in April 1942. The following year, while he and several others were participating in a bombing raid in Sicily, Italy, their plane was shot down. Truelove and two others' remains were never recovered.",
08-Jul-43,43,Indian Ocean,"Tsukagoshi, a Japanese aviator and explorer, disappeared after departing from Singapore for Crimea in the prototype Tachikawa Ki-77.",
13-Jul-43,26,"Mediterranean Sea near Sicily, Italy","British Army officer Appleyard disappeared on a return flight from the Allied invasion of Sicily. His aircraft was never located, and it is presumed he was shot down by friendly fire.",
04-Oct-43,23,Bay of Biscay,"A Southern Rhodesian RAF pilot, Guest was last seen on 4 October 1943 when he was fighting six Ju 88s while on patrol with another plane. He was pronounced missing in January 1944.",
04-Oct-43,32,North Sea,"Clausen, a German Luftwaffe military aviator and fighter ace who fought in multiple large-scale invasions and operations, was posted as missing in action on 4 October 1943 during a defence of the Reich mission.",
c. 31 October 1943,29,Caribbean Sea,"Kraynick, an American football back who played for the North Carolina Tar Heels, and later a first lieutenant in the USAAF, disappeared while flying over the Caribbean Sea and is presumed to have died.",
14-Feb-44,27,Pacific Ocean,Theodore Kara was an American boxer and a United States Army Air Corps radioman who disappeared on 14 February 1944 while flying over the Pacific Ocean and was never seen or heard from again.,
20-Apr-44,27,Adriatic Sea,"Atwell, an Australian rugby footballer who served as a pilot in the RAAF, disappeared during a bombing raid on Italy. His remains were never recovered.",
09-Jul-44,23,English Channel,The English-born Swedish volunteer fighter pilot for the RAF disappeared after having to eject from his aircraft. Neither he or his plane were ever recovered.,
26-Jul-44,Various,South China Sea,"Although the U.S. Navy claimed the submarine USS Robalo was lost with all hands after failing to report while on a July 1944 patrol in the Philippines, Lt. Cmdr. Manning Kimmel (31) and three other crewmen are known to have survived. A note recovered by an Army prisoner of war claimed the four had been arrested as spies after reaching Palawan Island following the Robalo's 26 July collision with a Japanese mine just offshore. Another witness account says they were massacred following an air raid later that year but Japanese records do not indicate they were being held at the camp in question at that time. It is believed that they were killed in captivity, but officially their fate is still unknown.",
